school_name,address,postal_code,mainlevel_code
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,SECONDARY
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,PRIMARY
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,PRIMARY
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,SECONDARY
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,PRIMARY
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,SECONDARY
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,MIXED LEVELS
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,PRIMARY
MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,739110,SECONDARY
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,PRIMARY
MAYFLOWER PRIMARY SCHOOL,200  Ang Mo Kio Avenue 5,569878,PRIMARY
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,SECONDARY
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,PRIMARY
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,PRIMARY
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,SECONDARY
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,PRIMARY
METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,599986,SECONDARY
MILLENNIA INSTITUTE,60   Bukit Batok West Avenue 8,658965,CENTRALISED INSTITUTE
MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,PRIMARY
MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,SECONDARY
NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,SECONDARY
NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,PRIMARY
NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,SECONDARY
NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,PRIMARY
NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,SECONDARY
NANYANG JUNIOR COLLEGE,128  SERANGOON AVENUE 3,556111,JUNIOR COLLEGE
NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,PRIMARY
NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,MIXED LEVELS
NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,PRIMARY
NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,SECONDARY
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,PRIMARY
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,SECONDARY
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,PRIMARY
NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,SECONDARY
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,PRIMARY
