OBJECTID,NAME,X,Y
228,GOODLINK PK PG,27117.9542548,45449.05704998
229,SPRINGLEAF GARDEN PG,26776.2035,42213.59752001
230,THONG SOON GREEN PG,26338.53237573,42436.45749998
231,SPRINGLEAF AVE PG,26806.90808103,42530.34699999
232,KANDIS GARDEN,28258.86443184,48643.78199998
233,JANGGUS GARDEN,28407.885,48792.86762347
234,PEBBLE GARDEN,27574.28801996,48030.46359999
235,SPRINGSIDE PK,26585.42505,43057.57656617
236,YISHUN POND PK,28686.45805,45527.85272381
237,MARSILING PARK,20946.31285,46591.76036684
238,CHOA CHU KANG PK,18415.46316989,40979.71179999
239,WOODLANDS TOWN PK EAST,21991.15617007,46484.86599998
240,CASHEW RD PG,20360.001,39179.58947282
241,CHESTNUT DR PG,20823.1625,38851.60193364
242,CASHEW LINK PG,20833.779,39263.5103464
243,JLN RASOK PK,19732.95413427,44255.09349999
244,ALMOND CRESCENT PG,21173.83463682,39468.45844999
245,HAZEL PK OS,20246.1655,39294.01420709
246,VILLA VERDE PK,19056.18488804,41371.41309999
247,ADMIRALTY PK,22071.6559,47995.9148642
248,CASHEW CRESCENT FC PG,20897.1777,39361.47434087
249,MARKET STREET PARK,29884.61445,29542.93141265
250,HAMPSTEAD WETLANDS PARK,32001.9439,43446.26566173
251,YOUTH OLYMPIC PK,31040.57945,30160.31034976
252,MACPHERSON LINEAR PK,33385.0214,35110.22584014
253,CORONATION PARK,23891.37895,33808.4684961
254,HOLLAND VILLAGE PK,23796.0415,32670.01542871
255,BUNGA RAMPAI PK,33673.25231618,35848.54769999
256,JALAN SEMBILANG PARK,28079.82506843,37627.63879999
257,BIDADARI PK,32563.66726097,35872.43149999
258,ST MICHAEL'S PG,31513.31982067,34273.10384999
259,ST MICHAEL'S FC,31537.95675,34302.68187916
260,CAMBRIDGE PARK,29504.56245,32883.46981774
261,KHEAM HOCK PARK,26429.53626684,34739.21044999
262,CEYLON ROAD INTERIM PARK,35376.29477626,32454.47914999
263,HAIG WALK EXTENSION,35273.7693,32554.13643052
264,ONAN ROAD GREEN SPACE,35501.08092417,32489.49594999
265,TRAS LINK PK,29165.40803215,28769.71999999
266,VENUS GREEN,27326.44419925,37860.52264999
267,GREEN LANE PARK,34584.58359028,32566.98349999
268,MAR THOMA ROAD PARK,31195.1095,34397.95002416
269,SIAN TUAN INTERIM PARK,22754.93406642,35640.44259999
270,LORONG ONG LYE PARK,33050.07401136,36653.99599999
271,KOON SENG PARK,35736.32415,32594.3053324
272,HOW SUN LINEAR PARK,32987.68285,36447.44202154
273,TAMPINES ECO GREEN PK,40804.62222643,38417.99844999
274,LENGKONG ENAM PARK,37061.03605,34398.84307756
275,JALAN SENANG LINEAR PARK,37333.40535,34200.73537883
276,TANAH PUTEH PK,38910.87187704,33123.18149999
277,TELOK KURAU LORONG N PK,36846.138,32514.74749307
278,JLN DAUD PK,36211.22305,34228.83608923
279,JLN DAUD INTERIM PK,36148.09747083,34202.75519999
280,JLN EUNOS INTERIM PK,36088.8659,34130.11591233
281,JLN AWANG INTERIM PK,36074.00585407,34013.86099999
282,JLN YASIN INTERIM PK,36039.18475,33735.02348905
283,SENNETT AVE LINEAR PK,39423.4065,33317.17794546
284,JALAN ISHAK PARK,36222.0219,34042.73269168
285,LORONG MARICAN PARK,36303.67058581,34014.38614999
286,LORONG MARZUKI PARK,36349.04937865,34004.41949999
287,LORONG MELAYU PARK,36458.7577065,34026.63999999
288,JALAN SINGA PARK,36193.1754001,34797.74929999
289,SEA BREEZE AVENUE PARK,41229.06345,35647.87982023
290,SEA BREEZE GARDEN PARK,41032.33305,35560.2443338
291,JLN KAYU PK,32402.7989,42220.66451208
292,PUNGGOL WATERWAY PK,35956.556,43646.54122073
293,CHILTERN DRIVE INTERIM PARK,31192.63415,36742.3435117
294,LUXUS HILLS PARK,32639.30832989,40163.28949999
295,COLCHESTER GROVE INTERIM OS,31719.7025,37618.55089347
296,ANG MO KIO LINEAR PK (PLOT 2),32278.06918868,40145.32169998
297,ANG MO KIO LINEAR PK (PLOT 3),31939.55080783,40129.52294999
298,JLN KAYU INTERIM PK,32364.33325,42296.41811536
299,REALTY PARK,34321.1786416,38917.23099999
300,PAYA LEBAR ROAD PARK,34150.06975,35005.23793965
301,WOODLANDS WATERFRONT PK,22213.18522214,48330.31444998
302,KEMUNING PK,27305.80929711,46778.82719999
303,LEGUNDI PK,26748.2238,46981.23541277
304,BROOK'S PARK,26849.38609033,43050.53044998
305,HAUS LINEAR PARK,30970.7527,38501.65518694
