school_name,address,postal_code,mainlevel_code,longitude,latitude
HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,PRIMARY,103.894114899795,1.36693830877349
HONG WEN SCHOOL,30   TOWNER ROAD,327829,PRIMARY,103.857628468881,1.32175999964553
HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,PRIMARY,103.913404855665,1.399550034492
HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,538692,PRIMARY,103.879472337592,1.37571530699875
HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,534256,SECONDARY,103.882533963338,1.37764019332164
HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,649371,SECONDARY,103.721832320169,1.35234365488339
HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,PRIMARY,103.844240226564,1.42697284512936
HWA CHONG INSTITUTION,661  BUKIT TIMAH ROAD,269734,MIXED LEVELS,103.803290365022,1.3263580622144
INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,PRIMARY,103.790607539185,1.42896700684852
JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,PRIMARY,103.830425490093,1.42768847665227
JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,560352,PRIMARY,103.850864037677,1.36442474404862
JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,PRIMARY,103.939221709073,1.34787074766746
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,SECONDARY,103.933886165824,1.35361315263537
JURONG PIONEER JUNIOR COLLEGE,21   Teck Whye Walk,688258,JUNIOR COLLEGE,103.75437461519,1.38437406410733
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,PRIMARY,103.733156566858,1.34843859698946
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,SECONDARY,103.723952961648,1.33002032220942
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,PRIMARY,103.698803732244,1.33917519796104
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,SECONDARY,103.702098904443,1.33525634688323
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,SECONDARY,103.728907710089,1.35128862770284
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,SECONDARY,103.687310264575,1.3387227734133
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,PRIMARY,103.756449399351,1.34552849960874
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,SECONDARY,103.764889617566,1.30122773426098
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,PRIMARY,103.847148501824,1.3373381935639
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,PRIMARY,103.888352029067,1.31099674009193
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,PRIMARY,103.747362720939,1.39356050497104
KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,689333,SECONDARY,103.741190664845,1.39005109871311
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,PRIMARY,103.855018233311,1.34939813669536
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,SECONDARY,103.854983746416,1.35017129930314
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,PRIMARY,103.718089546664,1.33820397704287
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,PRIMARY,103.754165828711,1.35424191127295
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,SECONDARY,103.956944585725,1.36658417167238
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,PRIMARY,103.901306904157,1.32858023873554
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,SECONDARY,103.901719963831,1.32747123084846
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,MIXED LEVELS,103.87776938227,1.34139822375509
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,PRIMARY,103.773643013846,1.43383904037059
MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,739110,SECONDARY,103.776008090454,1.43664424769955
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,PRIMARY,103.839811736775,1.34043840661368
MAYFLOWER PRIMARY SCHOOL,200  Ang Mo Kio Avenue 5,569878,PRIMARY,103.843252803742,1.37637683547682
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,SECONDARY,103.835360726863,1.36827266209722
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,PRIMARY,103.90857257736,1.39485356081865
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,PRIMARY,103.934953276155,1.37550677054835
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,SECONDARY,103.948972483629,1.3672468492013
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,PRIMARY,103.783382114018,1.33266213599636
METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,599986,SECONDARY,103.783382114018,1.33266213599636
MILLENNIA INSTITUTE,60   Bukit Batok West Avenue 8,658965,CENTRALISED INSTITUTE,103.741593577684,1.35031939200985
MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,PRIMARY,103.889741457901,1.37362445234082
MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,SECONDARY,103.888928372577,1.37396131656912
NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,SECONDARY,103.890004423764,1.38879582498399
NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,PRIMARY,103.891180928186,1.39221149906592
NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,SECONDARY,103.768561446725,1.30809529518605
NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,PRIMARY,103.761095065761,1.31920159956387
NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,SECONDARY,103.802420979943,1.33058326666479
NANYANG JUNIOR COLLEGE,128  SERANGOON AVENUE 3,556111,JUNIOR COLLEGE,103.866498721912,1.35028314949236
NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,PRIMARY,103.807681852799,1.32107094241153
NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,MIXED LEVELS,103.804110905425,1.33029291072172
NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,PRIMARY,103.839100590207,1.41590195697649
NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,SECONDARY,103.831050390247,1.41937881620441
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,PRIMARY,103.799964819895,1.29981138884057
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,SECONDARY,103.77318863421,1.30977590011357
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,PRIMARY,103.917570005713,1.30553224180437
NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,SECONDARY,103.956747262496,1.35447525755806
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,PRIMARY,103.903202683028,1.38706146494859
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,PRIMARY,103.848378442893,1.42745159462566
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,PRIMARY,103.89626457548,1.38255066171151
NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,SECONDARY,103.899188813886,1.381131285358
NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,SECONDARY,103.845147332528,1.42081285020652
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,PRIMARY,103.840792923345,1.42130404159807
NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,768578,SECONDARY,103.840104687784,1.43580183362637
NORTHLIGHT SCHOOL,151  Towner Road,327830,SECONDARY,103.85575955353,1.3191002158167
NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,PRIMARY,103.814075611175,1.45732867302094
NORTHSHORE PRIMARY SCHOOL,30   Northshore Drive,828671,PRIMARY,103.905147201163,1.41842322079348
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,MIXED LEVELS,103.769365156929,1.30656448055686
