facility_type,facility_name,longitude,latitude
mrt,SOO TECK LRT STATION,103.8972096503174,1.4050885848539645
mrt,KADALOOR LRT STATION,103.91648666197332,1.3995848527611094
mrt,CORAL EDGE LRT STATION,103.9125808548093,1.393909226117486
mrt,THANGGAM LRT STATION,103.87563515645569,1.3973181549952225
mrt,KEAT HONG LRT STATION,103.74905551939932,1.378602765983026
mrt,DAMAI LRT STATION,103.90860354364428,1.4052348361719906
mrt,COVE LRT STATION,103.9059619440764,1.3992819850199325
mrt,RIVIERA LRT STATION,103.91616605898768,1.3945244957690124
mrt,SENJA LRT STATION,103.76236722595048,1.3826922958241612
mrt,JELAPANG LRT STATION,103.76450333815882,1.386703025013921
mrt,PETIR LRT STATION,103.766668960223,1.3777503338172217
mrt,TECK WHYE LRT STATION,103.75371223219943,1.3766846794439074
mrt,CHOA CHU KANG LRT STATION,103.7445537312411,1.3848363599658255
mrt,SOUTH VIEW LRT STATION,103.74529180004232,1.380298287217282
mrt,LAYAR LRT STATION,103.88002960034964,1.392079838772599
mrt,KANGKAR LRT STATION,103.90217398876578,1.3839789018335389
mrt,MERIDIAN LRT STATION,103.9089502169662,1.3969120530632737
mrt,CHENG LIM LRT STATION,103.89379718083607,1.3962776313358083
mrt,PUNGGOL POINT LRT STATION,103.90665079046616,1.4168485204957677
mrt,SUMANG LRT STATION,103.89855845404988,1.4084524256476956
mrt,FERNVALE LRT STATION,103.87630861136844,1.391885887744102
mrt,TONGKANG LRT STATION,103.88584414990768,1.3893479529596946
mrt,PENDING LRT STATION,103.77127017861224,1.376142882785048
mrt,TECK LEE LRT STATION,103.90657762270187,1.4127708938635477
mrt,BANGKIT LRT STATION,103.77264907257116,1.3800178972420925
mrt,BAKAU LRT STATION,103.90543910424007,1.3880927037751092
mrt,RUMBIA LRT STATION,103.90597359531088,1.391468496838555
mrt,COMPASSVALE LRT STATION,103.90049245062764,1.3944930461980638
mrt,RANGGUNG LRT STATION,103.89753716196952,1.3838854419159177
mrt,PHOENIX LRT STATION,103.75803409838647,1.3786188444529008
mrt,SEGAR LRT STATION,103.76959839678024,1.387772130860874
mrt,SENGKANG LRT STATION,103.89544258366438,1.3916093638162654
mrt,BRAS BASAH MRT STATION,103.8506673717781,1.2968616865276132
mrt,MACPHERSON MRT STATION,103.8902870313661,1.326345371661258
mrt,CITY HALL MRT STATION,103.85258589234417,1.2929362428460929
mrt,TAMPINES EAST MRT STATION,103.95463446292943,1.356191483037002
mrt,TAMPINES WEST MRT STATION,103.93843697135333,1.34551530530169
mrt,GEYLANG BAHRU MRT STATION,103.8719006257064,1.3215058380176048
mrt,BENDEMEER MRT STATION,103.8629779874744,1.313672232544496
mrt,BENCOOLEN MRT STATION,103.85038425491643,1.2988642704173592
mrt,HARBOURFRONT MRT STATION,103.82144306908803,1.265472639862096
mrt,KENT RIDGE MRT STATION,103.78442746062646,1.2934960617448048
mrt,PUNGGOL MRT STATION,103.90207263840692,1.4045467277879482
mrt,TANJONG PAGAR MRT STATION,103.8458642293472,1.27652124669304
mrt,ONE-NORTH MRT STATION,103.78745750783104,1.299759878591986
mrt,STADIUM MRT STATION,103.8753503351786,1.302840629633224
mrt,BUGIS MRT STATION,103.85570641401658,1.3004650763152503
mrt,SOMERSET MRT STATION,103.83907516234385,1.3002600550654384
mrt,ORCHARD MRT STATION,103.83224145206746,1.3039810124368771
mrt,JALAN BESAR MRT STATION,103.85547701633922,1.3054036422232524
mrt,BAYFRONT MRT STATION,103.8590797651323,1.2818737884915377
mrt,SENGKANG MRT STATION,103.8954846941603,1.3916946260989878
mrt,BUKIT BROWN MRT STATION,103.83068955013653,1.3337288823214424
mrt,MOUNTBATTEN MRT STATION,103.8825280808098,1.3062019048312363
mrt,KOVAN MRT STATION,103.8850648563362,1.3601791711791509
mrt,FORT CANNING MRT STATION,103.84432826960943,1.2924789279174818
mrt,FARRER ROAD MRT STATION,103.80758610574624,1.3175106118957656
mrt,DOWNTOWN MRT STATION,103.85284044403936,1.279446190378722
mrt,ESPLANADE MRT STATION,103.8555041055266,1.2933216076112375
